url,title,year,program,department,faculty,abstract,keywords,is_english
https://vskp.vse.cz/92788_vyuziti-video-generativni-ai-pro-motion-graphics,Využití video generativní AI pro motion graphics,2024,Multimédia v ekonomické praxi,Katedra multimédií,Fakulta informatiky a statistiky,"Tato bakalářská práce reaguje na rostoucí trend využívaní generativní AI v kreativních odvětvích. Konkrétně se zabývá video-to-video generováním pro motion graphics. Práce popisuje několik možností, jak tuto metodu využít. Dvě z nich, style transfer (přenos stylu) a tvorba morph dynamických přechodů, jsou použity v pracovním postupu navrženém v rámci praktické části. Ten je určen pro ComfyUI rozhraní a Stable Diffusion modely. Nejdůležitějšími poznatky tohoto postupu jsou vhodně zvolené hodnoty pro kontrolu stylu a struktury. Tato kontrola proběhla na základě vizuální a motion reference vytvořených autorem. Další přínos tvoří princip vynechání několika prázdných snímků díky čemuž vzniká prostor pro vygenerování morph dynamického přechodu umělou inteligencí. Díky navrženému postupu je dále vygenerována konkrétní animace. Ta je dostupná na tomto odkaze: https://youtube.com/shorts/1U1WVSc84Zs. Hlavním přínosem práce jsou instrukce k celému procesu a navržený workflow.  Ty mohou sloužit jako návod pro budoucí tvůrce motion graphics a animace. Vedlejším přínosem je pak obhajoba video-to-video výtvorů z pohledu českého autorského práva, které současnou AI generovanou tvorbu nechrání pro její neoriginalitu a netvůrčí povahu.",AI; generativní umělá inteligence; motion graphics; Stable Diffusion; animace,False
https://vskp.vse.cz/92930_vyuziti-vfx-a-cgi-pri-tvorbe-postav-ve-filmovem-prumyslu,Využiti VFX a CGI při tvorbě postav ve filmovém průmyslu,2024,Multimédia v ekonomické praxi,Katedra multimédií,Fakulta informatiky a statistiky,"Bakalářská práce je věnována tvorbě filmových postav s využitím CGI a vizuálních efektů, konkrétně jejich animaci pomocí různých technik a nástrojů. Teoretická část obsahuje kapitoly věnované vysvětlení a rozdílům mezi pojmy VFX a CGI, jejich historii vzniku i vývoje a současnému stavu odvětví. Jedna z kapitol je zaměřena na srovnání vývoje VFX na příkladu případové studie dvou částí filmu Avatar a následnému závěru o zdokonalení technik vizuálních efektů. Zároveň se práce dotýká budoucích trendů v sektoru, zejména v kontextu umělé inteligence, a analyzuje celý proces vzniku filmu. Z hlediska VFX se dotýka technik, principů a postupů při vytváření 3D modelů postav. V praktické části bakalářské práce je záměrem otestovat AI nástroje, určené pro zachycení lidského pohybu, porovnat je s klasickou ruční animací v technice rotomation a posoudit, zda dané nástroje mají budoucnost v průmyslu. Zde jsou aplikovány teoretické poznatky na tvorbu animace postavy a její integraci do natočeného videa. Ve výsledku praktické částí se ukázalo, že se mezi testované nástroje jevil lídr a, že nástroje umělé inteligence mají značný potenciál pro budoucí využití v oblasti filmové tvorby.",3D grafika; animace; film; filmové postavy; proces tvorby; umělá inteligence; motion capture,False
https://vskp.vse.cz/94253_produktova-fotografie-s-vyuzitim-generativni-umele-inteligence,Produktová fotografie s využitím generativní umělé inteligence,2024,Multimédia v ekonomické praxi,Katedra multimédií,Fakulta informatiky a statistiky,"Tato práce poskytuje profesionálům i nadšeným amatérům v oblasti produktové fotografie teoretické podklady k tvorbě komplexních reklamních vizuálů, které sestávají z fotografie reálného produktu zasazené do generované scény, s cílem minimalizovat práci a náklady spojené se set designem za pomoci generativní umělé inteligence. Díky nízkorozpočtové povaze tohoto postupu je pro fotografy možné cílit i na menší firmy, které tyto služby pro svou propagaci poptávají, ale nedisponují dostatečně velkým rozpočtem k pokrytí nákladné produkce. Zároveň se předpokládá, že výrobek takové firmy není natolik známý, aby bylo pro AI možné jej věrohodně vygenerovat, a základ vizuálu tak musí tvořit profesionálně nafocený produkt. Stále je proto v procesu tvorby nepostradatelný přínos fotografa, jehož práce není zcela nahraditelná umělou inteligencí. V teoretické části je popsána stručná historie generativní umělé inteligence a princip práce s programem Midjourney. Dále jsou rozebírána práva duševního vlastnictví v České republice a jejich odlišnosti ve vztahu ke klasické a generované fotografii. V závěru nabízí práce výčet doporučených postupů pro komerční využití výstupů vygenerovaných umělou inteligencí v souladu s platnými právními předpisy. V praktické části je na reálném klientském briefu demonstrován pracovní postup při zpracovávání podobného zadání, od příprav až po postprodukci. Výstupem je ucelený reklamní vizuál připravený pro nasazení do produktové kampaně. V závěru jsou vyčísleny náklady k tvorbě tohoto výstupu, které jsou následně srovnány s náklady na produkci identického briefu s využitím služeb set designera.",produktová fotografie; generativní umělá inteligence; reklamní vizuál,False
https://vskp.vse.cz/94255_porovnani-vybranych-klasifikacnich-metod-na-zaklade-realnych-datovych-souboru,Porovnání vybraných klasifikačních metod na základě reálných datových souborů,2024,Matematické metody v ekonomii,Katedra statistiky a pravděpodobnosti,Fakulta informatiky a statistiky,"Tato bakalářská práce se zabývá porovnáním vybraných klasifikačních metod na základě reálných datových souborů. Cílem práce je zhodnotit výkonnost vybraných klasifikačních metod: logistická regrese, rozhodovací strom, náhodný les a metoda podpůrných vektorů. V teoretické části práce jsou představeny použité metody a techniky sloužící k jejich vyhodnocení. V praktické části je pracováno s pěti reálnými datovými soubory. Tato část obsahuje popis datových souborů, provedení explorační datové analýzy, výběr relevantních proměnných a tvorbu a evaluaci modelů. Na závěr jsou výsledky interpretovány s ohledem na různé metriky výkonnosti a je diskutována vhodnost použití jednotlivých metod v konkrétních situacích.",strojové učení; Python; Klasifikační metody; analýza reálných dat,False
https://vskp.vse.cz/89646_predikce-vysledku-esportovych-zapasu-pomoci-regresnich-modelu,Predikce výsledků esportových zápasů pomocí regresních modelů,2024,Matematické metody v ekonomii,Katedra ekonometrie,Fakulta informatiky a statistiky,"Tato bakalářská práce se zaměřuje na analýzu a predikci výsledků zápasů v eSportové hře League of Legends (LoL) pomocí strojového učení. Srovnáváme predikční metody používané v tradičních sportech a v eSportu, aby zdůraznili klíčové rozdíly a specifika těchto dvou odvětví. Využíváme tři metody strojového učení, gradient boosting, náhodný les a logistická regrese, k vytvoření přesného a robustního modelu pro předpovídání výsledků zápasů v LoL. Naše analýzy ukázaly, že gradient boosting je nejpřesnější a nejrobustnější z těchto metod. Data pro naše modely byla získána z eSportové databáze a byla zpracována a analyzována v jazyce Python s využitím knihoven pro strojové učení a analýzu dat. Během analýzy datové sady jsme narazili na několik problémů, jako je dočasnost dat a výběr proměnných. Nicméně jsme identifikovali výhody predikce eSportů oproti tradičním sportům, jako je automatické a přesné generování faktorů během hry. Výsledky našich modelů byly vyhodnoceny pomocí metrik jako přesnost, preciznost, úplnost a F1-skóre. Gradient boosting dosáhl nejlepších výsledků s nejvyšší přesností, precizností, úplností a F1-skóre. Celkově lze říci, že naše práce přináší cenné poznatky do oblasti predikce eSportů a jejich srovnání s tradičními sporty. V budoucnu by bylo zajímavé zkoumat další faktory ovlivňující výsledky zápasů, jako jsou preference jednotlivých hráčů a týmů nebo dopady aktualizací hry na predikce. Naše výsledky také zdůrazňují význam kombinace různých typů dat a jejich správného vyvážení pro dosažení optimálních výsledků v predikci výsledků zápasů v eSportovém prostředí.",předpověd výsledků; náhodný les; gradient boosting; regresní metody; League of Legends; strojové učení; eSport; logistická regrese,False
https://vskp.vse.cz/94318_velke-jazykove-modely-jako-nastroj-pro-extrakci-rysu-z-textu,Velké jazykové modely jako nástroj pro extrakci rysů z textu,2024,Data Analytics,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"This bachelor thesis investigates the usability of large language models (LLMs) for feature generation from text, evaluating whether LLMs can produce interpretable and usable features for machine-learning tasks. The study uses two labeled datasets: the CORD-19 corpus, consisting of coronavirus research articles with binary labels for high and low citation count, and a dataset of scientific articles from Czech research institutions, with article scores assigned according to the M17+ methodology (ranging from 1 to 5).  Seven categorical features were generated for each dataset using the LLama2 language model. These features were used to train models for binary and ordinal classification tasks. Performance was compared to baseline naive models and models trained on term frequency-inverse document frequency (TF-IDF) and sentence embeddings.  In the CORD-19 dataset, models using LLM-generated features achieved an accuracy of 59.8%, outperforming the baseline dummy classifier (50.2%) but falling short of TF-IDF (62.5%) and sentence embeddings (62.5%). Combining LLM-generated features with article abstract and title texts using the AutoGluon platform achieved the highest accuracy (66.5%), followed by combining TF-IDF terms and LLM-generated features (65.3%).  For the M17+ dataset, the model using LLM-generated features attained an accuracy of 37%, surpassing the naive classifier (18%) and TF-IDF (34.3%). Sentence embeddings achieved the highest accuracy (40.8%), while the AutoGluon model trained on abstract and title text achieved 39.5%.  LLM-generated features enhanced the predictive performance of models and demonstrated higher interpretability compared to traditional bibliometric features. However, a notable limitation is the computational cost; generating features for small datasets (2000-3000 samples) requires tens of hours on high-end hardware.",classification; feature importance; feature extraction; interpretability; large language models,False
https://vskp.vse.cz/94311_vyuziti-metod-strojoveho-uceni-pro-predikci-vysledku-fotbalovych-zapasu,Využití metod strojového učení pro predikci výsledků fotbalových zápasů,2024,Data Analytics,Katedra ekonometrie,Fakulta informatiky a statistiky,"This bachelor’s thesis investigates the use of machine learning to predict football match outcomes, aiming to achieve high predictive accuracy and compare it with bookmakers’ accuracy. A secondary goal was to evaluate the potential profitability of the models. We utilized a novel comprehensive dataset with detailed statistics, including expected goals (xG), to enhance predictive accuracy. The dataset covered seven English Premier League (EPL) seasons, with the 2023/2024 season as the test set. Extensive feature engineering was conducted, resulting in 134 features, of which 52 were selected using recursive feature elimination with XGBoost. Hyperparameters for XGBoost and Random Forest models were optimized through time-based cross-validation and random search. The models achieved an accuracy of 58.4% (Random Forest) and 58.6% (XGBoost) on 370 matches from the 2023/2024 EPL season, closely matching the bookmakers’ accuracy of 58.9%. A significant shortcoming was the models’ inability to predict draws, likely due to class imbalance and the use of accuracy as the evaluation metric for feature selection and hyperparameter tuning. Theoretical profitability was assessed by betting a constant amount based on predictions, but it was not statistically significant at the 5% level. Future research could incorporate player-level features, dive deeper into the problem of draw predictions and explore more sophisticated betting strategies to achieve statistically significant profits.",machine learning; football; match prediction; betting; sports,False
https://vskp.vse.cz/96930_analyza-moznosti-vyuziti-ai-ve-vzdelavani-z-pohledu-studentu,Analýza možností využití AI ve vzdělávání z pohledu studentů,2025,Aplikovaná informatika,Katedra informačních technologií,Fakulta informatiky a statistiky,"Tato bakalářská práce se zaměřuje na analýzu možností využití nástrojů umělé inteligence ve vzdělávání z pohledu studentů vysokých škol. Motivací k výběru tématu byla osobní zkušenost s proměnou studijního prostředí během pandemie COVID-19, kdy se AI nástroje začaly intenzivněji využívat jako podpora samostatného učení, organizace studia i přístupu k informacím. Práce definuje základní pojmy, vytváří přehled typů nástrojů a následně porovnává pět konkrétních zástupců (ChatGPT, Duolingo, Grammarly, Excel, NotebookLM) na základě jejich funkčnosti, přínosu a schopnosti reagovat na potřeby studentů. Zvláštní důraz je kladen na nástroj Google NotebookLM. V úvodní části jsou shrnuty teoretické poznatky z odborné literatury a představeny vytvořené kategorie AI nástrojů dle jejich hlavní funkce. Praktická část práce je založena na vlastním dotazníkovém šetření mezi studenty Vysoké školy ekonomické v Praze. Na základě získaných dat byla provedena analýza, jejímž cílem bylo zjistit, jak studenti vnímají přínosy jednotlivých nástrojů, s jakými překážkami se při jejich využívání setkávají, a který z nástrojů nejlépe kombinuje očekávané výhody s eliminací hlavních obav. Výsledky ukazují, že nástroje jako Google NotebookLM mají potenciál podpořit efektivní a personalizované učení, zároveň však poukazují na potřebu metodického vedení a jasných pravidel využívání AI ve vzdělávacím prostředí.",etika; Umělá inteligence; LMS; vzdělávání; Google NotebookLM,False
https://vskp.vse.cz/96828_no-code-webscraping-pomoci-platformy-make-com-a-jeho-vyuziti-s-rag-databazi,No-code webscraping pomocí platformy Make.com a jeho využití s RAG databází,2025,Aplikovaná informatika,Katedra systémové analýzy,Fakulta informatiky a statistiky,"Tato bakalářská práce se zabývá využitím automatizační platformy Make.com pro webscraping, uložením získaných dat do RAG databáze a následnou integrací s chatbotem využívající velké jazykové modely (LLM). Cílem práce je ověřit efektivitu tohoto no-code přístupu a změřit kvalitu generovaných odpovědí s využitím RAG databáze i bez ní. V teoretické části jsou popsány principy webscrapingu, automatizačních platforem a modelů RAG, včetně možností uložení dat pomocí vektorových databází jako Pinecone. Dále je rozebráno fungování velkých jazykových modelů a metrik pro měření relevance odpovědí, jako jsou BLEU, METEOR, RAGAS a BERTScore. Praktická část se zaměřuje na návrh a implementaci systému, který automatizuje získávání herních dat z vybraných zdrojů (např. Steam API, IGDB) pomocí Make.com. Tato data jsou následně uložena do RAG databáze a využita chatbotem k odpovědím na dotazy uživatelů. Výsledky experimentu jsou analyzovány na základě testovacích dotazů, přičemž je porovnávána kvalita odpovědí generovaných s RAG a bez něj. Výsledky práce poskytují ucelený pohled na možnosti využití no-code přístupu k webscrapingu a RAG databázím. Ukazují, do jaké míry tento přístup zlepšuje relevanci generovaných odpovědí a jaké jsou jeho limity při integraci s LLM.",herní data; chatbot; velké jazykové modely; RAG databáze; vektorové databáze; webscraping; Make.com,False
https://vskp.vse.cz/96829_fine-tuning-llm-modelu-pro-simulaci-algoritmu-dolovani-asociacnich-pravidel,Fine-tuning LLM modelu pro simulaci algoritmu dolování asociačních pravidel,2025,Aplikovaná informatika,Katedra informačního a znalostního inženýrství,Fakulta informatiky a statistiky,"Předkládaná práce se věnuje tématu dotrénování a následnému využití velkých jazykových modelů k hledání častých množin položek. Hlavním cílem práce bylo zjistit, zdali je možné doučit modely pro vyšší úspěšnost na dané úloze. V rámci práce byly dotrénovány dva modely (Deepseek R1 Distill Qwen 7B a Qwen1.5 1.8B Chat) na třech autorem vytvořených datasetech. Pro každý model i dataset bylo zároveň provedeno dotrénování na dvou různých nastaveních trénovací metody. Dotrénované modely byly poté otestovány na čtyřech různých datasetech pro hledání častých množin položek. Každý dataset na každém modelu byl přiložen v promptu a následně byl prompt generován na třech různých nastaveních kreativity modelu. Výstupy modelů byly porovnávány oproti výsledkům algoritmu apriori a následně oproti výsledkům nedotrénované verze daného modelu na stejné úloze.  Nejlepších výsledků dosáhl nedotrénovaný model Deepseek R1 s 14 % úspěšností. Následovaly dotrénované modely Deepseek R1 s průměrnou úspěšností blížící se nule.  Model Qwen1.5 na úloze hledání častých množin položek ve všech případech selhal. V případě dotrénovaných modelů docházelo k selhání modelů a v případě nedotrénovaného šlo nejčastěji o generování kódu místo výstupu.",podpora; Python; Deepseek; fine-tuning; Qwen; CSV; dataset; itemsety; asociační pravidla; algoritmus Apriori; LoRA,False
